name|a|b
สุริยะ|sooLriHyaH|Suriya[aThaigivenname]
สุธรรม|sooLthamM|Sutham[aThaigivenname]
สุเทพ|sooLthaehpF|Suthep[aThaigivenname]
สุทธิพล|sootLthiHphohnM|Sutthiphon[aThaigivenname]
สุทธิพงศ์|sootLthiHphohngM|Sutthiphong[aThaigivenname]
สุวรรณ|sooLwanM|Suwan[aThaigivenname]
สุวิชา|sooLwiHchaaM|Suwicha(aThaigivenname)
สุวิทย์|sooLwitH|Suwit[aThaimalegivenname]
ธเนศ|thaHnaehtF|Tanet[aThaimalename](arichman)
ตนุพล|dtaLnooHphohnM|Tanuphon[aThaigivenname]
ธีรศักดิ์|theeMraHsakL|Teerasak[aThaigivenname](stabilityandpower,authority)
ทักษิณ|thakHsinR|Thaksin[aThaigivenname]
ธนากร|thaHnaaMgaawnM|Thanakorn[aThaigivenname]
ธนาพร|thaHnaaMphaawnM|Thanaporn[aThaimalegivenname]
ถนัด|thaLnatL|Thanat[aThaigivenname]
ธนัชชา|thaHnatHchaaM|Thanatcha[Thaifemalegivenname]
ทวีฉัตร|thaHweeMchatL|Thawichat[aThaigivenname]
ถวิล|thaLwinR|Thawin[aThaigivenname]
ทวีป|thaHweepF|Thawip[aThaigivenname]
ทวีศักดิ์|thaHweeMsakL|Thawisak[aThaigivenname]
ทวีวงศ์|thaHweeMwohngM|Thawiwong[aThaigivenname]
ธีรภัทร|theeMraHphatH|Thiraphat[aThaigivenname]
ฐิตวรรณ|thitLdtaLwanM|Thitawan[aThaigivenname]
ฐิติภรณ์|thiLdtiLphohnM|Thitiporn[afemalegivenname]
ธงชัย|thohngMchaiM|Thongchai[aThaigivenname]
ทัศนีย์|thatHsaLneeM|Tussanee[aThaigivenname]
อุบล|ooLbohnM|Ubol[aThaifemalegivenname](waterlilly,lotus)
อุบลวรรณ|ooLbohnMwanM|Ubonwan[aThaigivenname]
อุดม|ooLdohmM|Udom[aThaimalegivenname](ideal,principle)
อุกิต|ooLgitL|Ukit[aThaimalename]
อุกฤษฏ์|ooLgritL|Ukrit[commonmaleThainame](supreme,highest)
อัญญาณี|anMyaaMneeM|Unyanee[aThaigivenname]
วีระ|weeMraH|Veera[aThaimalegivenname](brave)
วิโรจน์|wiHro:htF|Viroj[aThaigivenname]
วรภัทร|waawMraHphatH|Vorapat[aThaigivenname]
